100,200,400,800
238263.0,420200.0,506913.0,3075175.0
244045.0,448779.0,760728.0,2352904.0
250091.0,477989.0,1017564.0,2709552.0
254700.0,506654.0,276714.0,2942405.0
259427.0,535515.0,524060.0,3188475.0
264049.0,564054.0,772852.0,2459845.0
269121.0,592345.0,1014221.0,2829176.0
274567.0,621092.0,265945.0,3190112.0
280505.0,649199.0,522262.0,2573698.0
286487.0,677842.0,779077.0,2964594.0
292420.0,706103.0,1030361.0,3323952.0
298315.0,734300.0,290172.0,2643475.0
304219.0,762411.0,536279.0,2957515.0
310096.0,790640.0,789690.0,3298084.0
316004.0,818786.0,1049529.0,2616165.0
321863.0,847739.0,309295.0,2967441.0
327751.0,876289.0,563271.0,3319261.0
333640.0,904627.0,823437.0,2575760.0
338887.0,933045.0,1074454.0,2971326.0
343583.0,962001.0,325082.0,3335500.0
348045.0,991792.0,575522.0,2749071.0
352590.0,1020631.0,833408.0,3130846.0
357059.0,49703.0,1084457.0,2394475.0
361560.0,79154.0,331270.0,2687785.0
366155.0,108764.0,580324.0,2962585.0
370846.0,138443.0,835087.0,3276956.0
375583.0,168322.0,1083201.0,2612341.0
380323.0,198356.0,325778.0,2983905.0
384990.0,228244.0,568732.0,3205491.0
389665.0,256644.0,818095.0,2463168.0
